2026-05-19T00:00:00.046+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-2] c.h.b.l.i.ApiLoggingInterceptor          : Request: GET /api/shift-requests/eligible-peers | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:00.073+05:30 ERROR 18332 --- [backend] [http-nio-8080-exec-2] c.h.backend.logger.aspect.LoggingAspect  : Exception in ShiftRequestServiceImpl.getEligiblePeers(..) | Message: Only future or today's shifts are eligible for swaps
2026-05-19T00:00:00.078+05:30  WARN 18332 --- [backend] [http-nio-8080-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.hwscs.backend.exception.InvalidRequestException: Only future or today's shifts are eligible for swaps]
2026-05-19T00:00:00.079+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-2] c.h.b.l.i.ApiLoggingInterceptor          : Response: GET /api/shift-requests/eligible-peers | Status: 400
2026-05-19T00:00:06.003+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-7] c.h.b.l.i.ApiLoggingInterceptor          : Request: POST /api/shift-requests | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:06.018+05:30 ERROR 18332 --- [backend] [http-nio-8080-exec-7] c.h.backend.logger.aspect.LoggingAspect  : Exception in ShiftRequestServiceImpl.createRequest(..) | Message: Only future or today's shifts can be swapped
2026-05-19T00:00:06.021+05:30  WARN 18332 --- [backend] [http-nio-8080-exec-7] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.hwscs.backend.exception.InvalidRequestException: Only future or today's shifts can be swapped]
2026-05-19T00:00:06.021+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-7] c.h.b.l.i.ApiLoggingInterceptor          : Response: POST /api/shift-requests | Status: 400
2026-05-19T00:00:12.738+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-6] c.h.b.l.i.ApiLoggingInterceptor          : Request: GET /api/shift-requests/eligible-peers | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:12.753+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-6] c.h.backend.logger.aspect.LoggingAspect  : Exiting: ShiftRequestServiceImpl.getEligiblePeers(..) | Result: [EligiblePeerDto [nurseId=2, nurseName=Nurse ICU-N2, nurseShiftId=6, shiftName=Morning, shiftStart=06:00, shiftEnd=14:00, shiftDate=2026-05-19], EligiblePeerDto [nurseId=3, nurseName=Nurse ICU-N3, nurseShiftId=9, shiftName=Evening, shiftStart=14:00, shiftEnd=22:00, shiftDate=2026-05-19], EligiblePeerDto [nurseId=5, nurseName=Nurse ICU-N5, nurseShiftId=15, shiftName=Morning, shiftStart=06:00, shiftEnd=14:00, shiftDate=2026-05-19]]
2026-05-19T00:00:12.763+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-6] c.h.b.l.i.ApiLoggingInterceptor          : Response: GET /api/shift-requests/eligible-peers | Status: 200
2026-05-19T00:00:16.077+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-5] c.h.b.l.i.ApiLoggingInterceptor          : Request: GET /api/shift-requests/eligible-peers | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:16.087+05:30 ERROR 18332 --- [backend] [http-nio-8080-exec-5] c.h.backend.logger.aspect.LoggingAspect  : Exception in ShiftRequestServiceImpl.getEligiblePeers(..) | Message: Only future or today's shifts are eligible for swaps
2026-05-19T00:00:16.089+05:30  WARN 18332 --- [backend] [http-nio-8080-exec-5] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.hwscs.backend.exception.InvalidRequestException: Only future or today's shifts are eligible for swaps]
2026-05-19T00:00:16.090+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-5] c.h.b.l.i.ApiLoggingInterceptor          : Response: GET /api/shift-requests/eligible-peers | Status: 400
2026-05-19T00:00:20.913+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-8] c.h.b.l.i.ApiLoggingInterceptor          : Request: POST /api/shift-requests | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:20.921+05:30 ERROR 18332 --- [backend] [http-nio-8080-exec-8] c.h.backend.logger.aspect.LoggingAspect  : Exception in ShiftRequestServiceImpl.createRequest(..) | Message: Only future or today's shifts can be swapped
2026-05-19T00:00:20.923+05:30  WARN 18332 --- [backend] [http-nio-8080-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.hwscs.backend.exception.InvalidRequestException: Only future or today's shifts can be swapped]
2026-05-19T00:00:20.923+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-8] c.h.b.l.i.ApiLoggingInterceptor          : Response: POST /api/shift-requests | Status: 400
2026-05-19T00:00:22.537+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-9] c.h.b.l.i.ApiLoggingInterceptor          : Request: POST /api/shift-requests | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:22.548+05:30 ERROR 18332 --- [backend] [http-nio-8080-exec-9] c.h.backend.logger.aspect.LoggingAspect  : Exception in ShiftRequestServiceImpl.createRequest(..) | Message: Only future or today's shifts can be swapped
2026-05-19T00:00:22.551+05:30  WARN 18332 --- [backend] [http-nio-8080-exec-9] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.hwscs.backend.exception.InvalidRequestException: Only future or today's shifts can be swapped]
2026-05-19T00:00:22.552+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-9] c.h.b.l.i.ApiLoggingInterceptor          : Response: POST /api/shift-requests | Status: 400
2026-05-19T00:00:25.133+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-10] c.h.b.l.i.ApiLoggingInterceptor          : Request: GET /api/shift-requests/eligible-peers | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:25.150+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-10] c.h.backend.logger.aspect.LoggingAspect  : Exiting: ShiftRequestServiceImpl.getEligiblePeers(..) | Result: [EligiblePeerDto [nurseId=2, nurseName=Nurse ICU-N2, nurseShiftId=6, shiftName=Morning, shiftStart=06:00, shiftEnd=14:00, shiftDate=2026-05-19], EligiblePeerDto [nurseId=3, nurseName=Nurse ICU-N3, nurseShiftId=9, shiftName=Evening, shiftStart=14:00, shiftEnd=22:00, shiftDate=2026-05-19], EligiblePeerDto [nurseId=5, nurseName=Nurse ICU-N5, nurseShiftId=15, shiftName=Morning, shiftStart=06:00, shiftEnd=14:00, shiftDate=2026-05-19]]
2026-05-19T00:00:25.152+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-10] c.h.b.l.i.ApiLoggingInterceptor          : Response: GET /api/shift-requests/eligible-peers | Status: 200
2026-05-19T00:00:27.295+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-1] c.h.b.l.i.ApiLoggingInterceptor          : Request: POST /api/shift-requests | IP: 0:0:0:0:0:0:0:1
2026-05-19T00:00:27.317+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-1] c.h.backend.logger.aspect.LoggingAspect  : Exiting: ShiftRequestServiceImpl.createRequest(..) | Result: ShiftRequestResponseDto [id=1, status=PENDING_PEER, remarks=Shift swap request from nurse dashboard, createdAt=2026-05-19T00:00:27.312941900, requesterNurseId=1, requesterNurseName=Nurse ICU-N1, requesterShiftDate=2026-05-19, requesterShiftName=Night, requesterShiftStart=22:00, requesterShiftEnd=06:00, peerNurseId=2, peerNurseName=Nurse ICU-N2, peerShiftDate=2026-05-19, peerShiftName=Morning, peerShiftStart=06:00, peerShiftEnd=14:00]
2026-05-19T00:00:27.323+05:30  INFO 18332 --- [backend] [http-nio-8080-exec-1] c.h.b.l.i.ApiLoggingInterceptor          : Response: POST /api/shift-requests | Status: 200
